"","Sample","Eruption","Volume.km3.","num_min_age.wrt2000AD.","num_max_age.wrt2000AD.","Reference","Zone","SiO2","TiO2","Al2O3","FeOt","MgO","CaO","Na2O","K2O"
"231","GAE16","Gaesafjoll",7,12000,70000,"Maclennan2004","NNVZ",48.081,2.636,14.128,13.22,7.185,11.854,2.123,0.249
"232","KK118@6",NA,NA,120000,190000,"Nicholson1991","NNVZ",50.43,1.85,13.54,14.55,6.22,10.56,2.12,0.28
"233","KK119@6",NA,NA,120000,190000,"Nicholson1991","NNVZ",50.36,1.85,13.92,14.23,6.24,10.46,2.23,0.28
"234","KK92","Dalseldar",0.05,1000,1100,"Nicholson1991","NNVZ",49.86,1.83,13.96,13.92,6.95,10.46,2.33,0.29
"235","KK29@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",75.78,0.24,12.19,3.04,0.04,1.56,4.26,2.78
"236","GAE22","Gaesafjoll",7,12000,70000,"Maclennan2004","NNVZ",48.147,1.999,16.16,11.055,7.476,12.537,2.033,0.185
"237","l9454","Thorunnarfjoll",0.2,12000,70000,"Maclennan2001","NNVZ",48.85,1.99,14.44,12.77,8.07,10.68,2.46,0.34
"238","l9455","Thorunnarfjoll",0.2,12000,70000,"Maclennan2001","NNVZ",49.6,2.06,14.52,12.92,7.63,10.17,2.36,0.35
"239","l9412","Langaviti",0.8,8500,10300,"Slater2001Stracke2003a","NNVZ",49.34,0.75,15.55,9.75,9.73,12.82,1.79,0.07
"240","l9368","Langaviti",0.8,8500,10300,"Slater2001","NNVZ",49.35,0.74,15.69,9.84,9.45,12.86,1.76,0.08
"241","GAE17","Gaesafjoll",7,12000,70000,"Maclennan2004","NNVZ",48.057,1.87,15.882,10.933,8.338,12.422,1.941,0.168
"242","KRA01","Kroflueldar",0.25,25,35,"Maclennan2004","NNVZ",50.369,2.059,13.416,14.803,5.949,10.201,2.402,0.336
"243","KK98@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",59.31,1.26,15.86,8.83,2.9,6.69,3.81,0.92
"244","KK102@3",NA,NA,8500,12000,"Nicholson1991","NNVZ",50.46,2.05,13.31,15.06,5.83,10.07,2.44,0.33
"245","KK108@3",NA,NA,8500,12000,"Nicholson1991","NNVZ",50.37,1.99,13.51,14.81,5.96,10.18,2.43,0.32
"246","KK91@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",51.15,2.03,13.56,14.73,5.42,9.79,2.47,0.4
"247","KK115@6",NA,NA,120000,190000,"Nicholson1991","NNVZ",50.16,1.8,14.02,13.98,6.48,10.63,2.24,0.28
"248","KK28@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",51.92,1.04,15.78,9.63,6.61,12,2.34,0.37
"249","KK25@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",68.08,0.73,13.26,5.92,1.58,4.3,3.8,1.99
"250","KK154","Earlypostglacialeruptions",0.01,8500,12000,"Nicholson1991","NNVZ",50.04,1.84,13,15.04,5.61,11.33,2.44,0.31
"251","KK156","Earlypostglacialeruptions",0.01,8500,12000,"Nicholson1991","NNVZ",50.81,1.85,13.22,15.24,5.71,10.04,2.4,0.3
"252","KRA02","Kroflueldar",0.25,25,35,"Maclennan2004","NNVZ",50.368,2.061,13.424,14.812,5.913,10.206,2.413,0.336
"253","KK144","Earlypostglacialeruptions",0.01,8500,12000,"Nicholson1991","NNVZ",51.12,2.02,13.46,14.85,5.39,9.79,2.51,0.4
"254","KK145@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",49.82,1.85,14.13,12.7,7,11.56,2.27,0.23
"255","l9364","Gaesafjoll",7,12000,70000,"Maclennan2001","NNVZ",48.21,2.16,14.94,11.81,7.57,12.55,2.14,0.19
"256","l9365","Draugarhraun",0.1,10300,12000,"Nicholson1991","NNVZ",51.21,2,13.44,14.68,5.55,9.64,2.66,0.41
"257","GAE21","Gaesafjoll",7,12000,70000,"Maclennan2004","NNVZ",48.148,2.115,15.443,11.417,7.818,12.454,2.013,0.169
"258","GAE18","Gaesafjoll",7,12000,70000,"Maclennan2004","NNVZ",48.349,2.19,14.952,11.728,7.673,12.418,2.06,0.19
"259","GAE19","Gaesafjoll",7,12000,70000,"Maclennan2004","NNVZ",48.306,1.986,16.48,10.758,7.122,12.759,2.026,0.172
"260","GAE20","Gaesafjoll",7,12000,70000,"Maclennan2004","NNVZ",47.844,1.91,15.453,11.252,8.965,12.074,1.935,0.172
"261","KRA20","Kroflueldar",0.25,25,35,"Maclennan2004","NNVZ",49.588,1.679,14.516,12.613,7.557,11.295,2.123,0.246
"262","LTLV-09E","Storavitishraun",18.4,11300,11300,NA,"NNVZ",50.25,0.973,15.26,10.62,8.32,12.08,2.05,0.15
"263","LTLV-09D","Storavitishraun",18.4,11300,11300,NA,"NNVZ",50.15,0.969,15.32,10.65,8.33,12.09,2.06,0.14
"264","LTLV-09C","Storavitishraun",18.4,11300,11300,NA,"NNVZ",50.55,1.044,15.03,10.81,7.83,12.28,2.01,0.15
"265","LTLV-09B","Storavitishraun",18.4,11300,11300,NA,"NNVZ",50.21,0.991,15.28,10.74,8.24,12.1,2,0.14
"266","LTLV-09A","Storavitishraun",18.4,11300,11300,NA,"NNVZ",50.26,0.994,15.24,10.76,8.2,12.13,1.99,0.14
"267","LTLV-04","Storavitishraun",18.4,11300,11300,NA,"NNVZ",50.03,0.919,15.42,10.4,8.6,12.27,1.97,0.11
"268","LTLV-06","Storavitishraun",18.4,11300,11300,NA,"NNVZ",50.45,1.045,14.99,10.98,7.7,12.3,2.09,0.15
"269","LTLV-05","Storavitishraun",18.4,11300,11300,NA,"NNVZ",49.84,0.973,15.27,11.06,8.36,12.07,2.01,0.14
"270","LTLV-10","Storavitishraun",18.4,11300,11300,NA,"NNVZ",49.93,0.942,15.38,10.62,8.56,12.13,2.03,0.13
"271","LTLV-13","Storavitishraun",18.4,11300,11300,NA,"NNVZ",49.84,0.946,15.23,11.08,8.33,12.1,2.06,0.14
"272","LTLV-11","Storavitishraun",18.4,11300,11300,NA,"NNVZ",49.54,0.908,15.5,10.87,8.84,11.97,1.96,0.13
"273","LTLV-12","Storavitishraun",18.4,11300,11300,NA,"NNVZ",49.8,0.929,15.22,11.02,8.54,12.08,1.99,0.14
"274","LTLV-03","Storavitishraun",18.4,11300,11300,NA,"NNVZ",50.13,0.979,15.14,11,8.12,12.18,2.04,0.13
"275","LTLV-02","Storavitishraun",18.4,11300,11300,NA,"NNVZ",50.74,1.207,14.29,12.08,7.13,12.03,2.05,0.14
"276","LTLV-01","Storavitishraun",18.4,11300,11300,NA,"NNVZ",50.19,0.929,15.42,10.5,8.27,12.26,2.02,0.13
"277","LTLV-01B","Storavitishraun",18.4,11300,11300,NA,"NNVZ",50.45,0.937,15.32,10.19,8.13,12.54,2.02,0.13
"278","LTLV-07","Storavitishraun",18.4,11300,11300,NA,"NNVZ",49.96,0.926,15.38,10.62,8.55,12.14,2.03,0.12
"279","LTLV-08","Storavitishraun",18.4,11300,11300,NA,"NNVZ",50.01,0.928,15.46,10.44,8.58,12.18,1.98,0.14
"280","KK55","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",49.76,1.5,14.35,11.32,7.44,12.8,2.29,0.18
"281","KR83","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",49.95,0.92,15.23,10.81,8.13,12.56,1.98,0.14
"282","KR82","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",50.43,0.92,15.46,10.39,7.83,12.76,1.81,0.13
"283","KK97@3",NA,NA,8500,12000,"Nicholson1991","NNVZ",50.33,2.04,13.32,15.1,5.89,10.07,2.48,0.32
"284","KK89@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",50.33,1.61,15.82,12.74,5.49,11.09,2.28,0.27
"285","KK24@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",50.86,2.09,14.73,13.75,5.46,9.86,2.34,0.43
"286","KRA03","Kroflueldar",0.25,25,35,"Maclennan2004","NNVZ",50.359,2.064,13.467,14.704,5.96,10.241,2.412,0.335
"287","KRA04","Kroflueldar",0.25,25,35,"Maclennan2004","NNVZ",50.342,2.054,13.443,14.696,5.999,10.273,2.388,0.333
"288","NV49","Kroflueldar",0.25,30,30,"Koornneef2012","NNVZ",49.522,1.616,14.33,12.73,7.392,11.492,2.242,0.242
"289","NV50","Kroflueldar",0.25,50,50,"Koornneef2012","NNVZ",49.56,1.612,14.314,12.726,7.394,11.483,2.236,0.242
"290","408640","Storavitishraun",18.4,11300,11300,"Skovgaard2001Breddam2000Peate2010","NNVZ",48.355,0.827,15.299,9.609,11.144,12.757,1.729,0.042
"291","sh19","Storavitishraun",18.4,11300,11300,"Slater2001","NNVZ",50.17,1.06,15.56,10.45,7.7,12.5,2.12,0.14
"292","sh23","Storavitishraun",18.4,11300,11300,"Slater2001","NNVZ",49.36,1.06,15.62,10.87,8.13,12.42,2.08,0.15
"293","sh27","Storavitishraun",18.4,11300,11300,"Slater2001","NNVZ",50.01,1.09,15.25,11.02,7.41,12.43,2.24,0.21
"294","sh40","Storavitishraun",18.4,11300,11300,"Slater2001","NNVZ",48.51,0.93,15.72,9.34,10.35,12.89,1.92,0.09
"295","sh42","Storavitishraun",18.4,11300,11300,"Slater2001","NNVZ",49.07,0.84,15.17,9.23,11.22,12.4,1.78,0.07
"296","IT1elliott","Storavitishraun",18.4,11300,11300,"Slater2001Elliott1991","NNVZ",49.1,0.96,15.32,9.95,9.18,13.42,1.77,0.06
"297","IT3Aelliott","Storavitishraun",18.4,11300,11300,"Slater2001Elliott1991","NNVZ",49.61,0.91,15.4,10.97,9.08,11.84,1.78,0.13
"298","l94101","Storavitishraun",18.4,11300,11300,"Slater2001Stracke2003a","NNVZ",48.92,0.7,15.55,9.36,10.54,12.97,1.7,0.06
"299","l94102","Storavitishraun",18.4,11300,11300,"Slater2001Stracke2003a","NNVZ",48.82,0.66,15.69,9.22,10.62,13.08,1.68,0.05
"300","l94103","Storavitishraun",18.4,11300,11300,"Slater2001","NNVZ",48.92,0.69,15.7,9.38,10.31,13.01,1.74,0.05
"301","sh1","Storavitishraun",18.4,11300,11300,"Slater2001","NNVZ",48.41,0.9,15.1,9.38,8.6,14.32,1.94,0.53
"302","SH43xrf","Storavitishraun",18.4,11300,11300,"Slater2001","NNVZ",48.95,0.95,15.27,10.23,9.61,12.75,1.94,0.09
"303","TH16xrf","Storavitishraun",18.4,11300,11300,"Slater2001","NNVZ",49.74,0.85,15.5,10.73,8.93,11.77,2.12,0.12
"304","l9353","Langaviti",0.8,8500,10300,"Slater2001Stracke2003a","NNVZ",49.92,0.92,15.28,11.11,8.39,11.98,1.99,0.13
"305","KK55@4",NA,NA,12000,70000,"Nicholson1991","NNVZ",49.45,1.45,15.32,10.9,7.68,12.82,1.91,0.15
"306","KK90@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",51.12,1.98,13.62,14.52,5.51,9.78,2.64,0.4
"307","KK147@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",56.74,1.89,12.02,12.38,5.12,9.14,2.02,0.27
"308","KK93","Earlypostglacialeruptions",0.01,8500,12000,"Nicholson1991","NNVZ",51.08,2.01,13.46,14.69,5.45,9.78,2.67,0.4
"309","KK109B@6",NA,NA,120000,190000,"Nicholson1991","NNVZ",50.24,1.83,13.95,14.03,6.39,10.55,2.33,0.29
"310","KK110@6",NA,NA,120000,190000,"Nicholson1991","NNVZ",50.26,1.82,13.83,14.09,6.39,10.59,2.32,0.29
"311","KRA19","Kroflueldar",0.25,25,35,"Maclennan2004","NNVZ",49.59,1.669,14.51,12.631,7.536,11.254,2.17,0.248
"312","l94100","Thrihyrningur",0.06,12000,70000,"Maclennan2001","NNVZ",50.08,2.23,13.69,12.93,6.84,10.95,2.38,0.38
"313","l9420A","Thrihyrningur",0.06,12000,70000,"Maclennan2001","NNVZ",50.04,1.92,14.15,12.11,7.34,11.39,2.28,0.33
"314","l9421","Thrihyrningur",0.06,12000,70000,"Maclennan2001","NNVZ",50.8,1.86,14.44,11.95,7.53,10.65,2.03,0.3
"315","KRA18","Kroflueldar",0.25,25,35,"Maclennan2004","NNVZ",49.453,1.65,14.84,12.143,7.634,11.691,1.988,0.224
"316","KRA17","Kroflueldar",0.25,25,35,"Maclennan2004","NNVZ",49.41,1.694,14.804,12.237,7.538,11.637,2.064,0.233
"317","KR53","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",56.87,1.37,15.56,10.08,3.59,7.97,3.35,0.75
"318","KK53","Heidarspordur",0.3,10000,10300,"Nicholson1991","NNVZ",49.01,0.81,15.44,10.4,9.19,13.14,1.69,0.06
"319","KR32","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",51.18,0.94,14.85,10.63,7.74,12.39,1.82,0.16
"320","KK35","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",58.49,1.33,15.34,9.43,3.09,7.38,3.59,0.85
"321","KR84","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",59.14,1.3,15.55,9.04,2.75,6.87,3.93,0.94
"322","KR1","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",66.42,0.91,15.64,6.09,1.24,4.8,4.18,0.37
"323","KK104@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",49.41,1.49,15.08,11.17,7.58,12.66,2.15,0.15
"324","KK59","HyaloclastiteRidges1.15km3",1.15,12000,70000,"Nicholson1991","NNVZ",49.34,2.27,14.35,14.02,6.02,11.02,2.29,0.23
"325","KK109A@6",NA,NA,120000,190000,"Nicholson1991","NNVZ",50.17,1.83,13.86,14.17,6.37,10.56,2.35,0.28
"326","KK136@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",54.41,2.98,13.64,14.89,3.18,6.81,2.46,0.74
"327","l9375","Borgarhraun",0.9,8500,10300,"Slater2001Stracke2003a","NNVZ",48.92,0.75,14.56,9.54,11.14,13.22,1.61,0.05
"328","k81","Krafla",NA,0,5000,"Hemond1993","NNVZ",49.691,1.683,14.141,13.045,7.03,11.551,2.261,0.209
"329","KK26",NA,NA,NA,NA,"Condomines1983","NNVZ",62.687,0.776,13.93,7.363,3.085,6.169,3.98,1.692
"330","ATHO","subglacial_ridge",NA,NA,NA,"Condomines1983","NNVZ",75.101,0.272,12.198,3.367,0.101,1.734,4.345,2.742
"331","KK52","Heidarspordur",0.3,10000,10300,"Nicholson1991","NNVZ",48.91,0.82,16.02,9.81,9.15,13.18,1.77,0.08
"332","KR88","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",49.12,0.81,15.18,10.49,8.91,13.27,1.86,0.1
"333","KR89","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",50.67,1,14.96,10.93,7.51,12.74,1.77,0.13
"334","KR87a","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",52.51,1.7,14.71,11.63,5.61,9.7,3.04,0.48
"335","KR72","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",57.54,1.34,14.88,9.98,3.46,7.74,3.74,0.8
"336","KR80","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",51.01,0.92,14.73,10.66,7.82,12.57,1.83,0.17
"337","KR81","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",59.64,1.29,15.3,8.81,2.72,6.78,3.99,0.96
"338","KR46","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",59.99,1.27,15.85,8.49,2.45,6.56,3.93,0.98
"339","KR49","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",56.67,1.42,14.68,10.96,3.64,7.85,3.53,0.76
"340","KK53","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",49.19,0.83,14.92,10.57,9.02,13.14,1.98,0.09
"341","KR52","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",52.99,1.13,15.04,10.58,6.29,10.75,2.48,0.38
"342","KR51","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",54.7,1.28,15.3,10.46,5.02,9.34,2.97,0.53
"343","KK140@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",48.84,0.94,16.49,9.65,8.56,13.35,1.85,0.07
"344","KK143@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",48.84,0.94,16.42,9.76,8.49,13.35,1.85,0.07
"345","KK51","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",51.21,1.44,14.74,11.3,6.71,10.95,2.78,0.36
"346","KR73","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",49.76,1.02,14.51,11.56,8.08,12.52,2.1,0.13
"347","KR74","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",52.56,1.17,14.81,11.17,6.26,10.58,2.67,0.37
"348","KR75","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",56.8,1.3,14.76,10.27,3.86,8.05,3.63,0.79
"349","KR71","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",50.86,1.16,14.31,11.5,7.57,11.56,2.44,0.23
"350","KR3","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",65.46,0.94,15.92,6.31,1.39,4.91,4.36,0.36
"351","KR47","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",56.2,1.51,15.26,11.01,3.53,7.95,3.36,0.72
"352","KR45","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",64.94,0.95,15.33,6.39,1.39,4.66,4.63,1.34
"353","KK34@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",65.53,0.86,15.42,6.08,1.45,4.75,4.27,1.33
"354","KR87","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",51.56,1,14.95,10.71,7.5,11.78,1.98,0.2
"355","KR48","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",54.83,1.43,15.22,11.1,4.47,8.86,3.04,0.62
"356","KR86","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",56.42,1.46,15.5,10.79,3.53,7.68,3.4,0.76
"357","KR50","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",57.63,1.35,15.61,9.57,3.26,7.62,3.65,0.82
"358","KR54","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",59.08,1.27,14.92,9.14,2.95,7.09,4.09,0.93
"359","KR55","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",51.18,1.89,13.27,14.74,5.46,9.93,2.63,0.44
"360","KK94@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",59.21,1.27,15.7,8.87,3.01,6.81,3.79,0.9
"361","KK95@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",57.91,1.33,15.73,9.58,3.35,7.27,3.58,0.81
"362","KK96@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",58.66,1.28,15.69,9.1,3.22,7.01,3.74,0.86
"363","KR79","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",50.89,1.97,13.3,14.54,5.55,10.24,2.58,0.44
"364","KK117@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",51.03,2.06,13.53,14.83,5.42,9.73,2.55,0.41
"365","KK141","Namafjall",0.01,12000,70000,"Nicholson1991","NNVZ",48.81,0.97,15.6,10.15,8.96,13.23,1.95,0.08
"366","KK142","Namafjall",0.01,12000,70000,"Nicholson1991","NNVZ",48.95,1.34,14.98,10.92,8.63,12.88,1.86,0.12
"367","KK137@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",50.6,2.07,14.42,13.67,5.66,10.46,2.22,0.42
"368","KK138@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",50.61,1.96,14.57,13.25,6.1,10.45,2.23,0.37
"369","IC10","Kroflueldar",0.25,25,35,"Nicholson1991","NNVZ",49.53,1.67,14.57,12.77,7.73,11.29,1.84,0.23
"370","K8405","Kroflueldar",0.25,25,35,"Nicholson1991","NNVZ",49.34,1.64,14.8,12.15,7.64,11.64,2.19,0.22
"371","KRA118","Myvatnseldar",0.25,280,290,"Nicholson1991","NNVZ",50.36,2.02,13.62,14.58,6.17,10.31,2.17,0.32
"372","KK68","Krofluhals",1,10600,10600,"Nicholson1991","NNVZ",49.11,1.2,15.14,10.63,8.67,12.97,1.88,0.11
"373","KK149","Hverfjall",0.4,2800,2900,"Nicholson1991","NNVZ",50.11,1.86,14.08,14.35,6.31,10.39,2.2,0.28
"374","KR90","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",51.66,1.38,14.68,12.07,6.06,10.11,3.17,0.39
"375","KR77","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",49.52,1.03,14.81,11.31,8.32,12.56,2.02,0.13
"376","KK116","Heidarspordur",0.3,10000,10300,"Nicholson1991","NNVZ",49.51,1.01,15.28,11.14,8.35,12.41,1.92,0.1
"377","KR78","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",52.6,1.33,15.25,11.09,5.79,10.04,2.93,0.46
"378","NV48","Daleldar",NA,3000,3000,"Koornneef2012","NNVZ",50.362,2.081,13.108,15.258,5.706,10.154,2.528,0.325
"379","KK103@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",51.04,2.1,13.33,14.99,5.4,9.63,2.64,0.42
"380","KK17@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",49.23,1.08,16.74,10.14,6.86,13.75,1.77,0.12
"381","KK133@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",50.55,2.1,14.09,13.91,5.73,10.25,2.44,0.43
"382","KK134@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",50.35,2.11,14.53,13.94,5.52,10.2,2.44,0.41
"383","KK135@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",50.48,2.11,14.21,13.78,5.64,10.27,2.58,0.44
"384","NV47","Kroflueldar",0.25,30,30,"Koornneef2012","NNVZ",50.239,2.109,13.188,14.89,5.872,10.363,2.533,0.323
"385","KK105@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",49.93,1.03,15.3,10.29,8.45,13.2,1.43,0.09
"386","KK31","Gjastykkisbunga",2,11500,12000,"Nicholson1991","NNVZ",49.11,0.79,15.79,9.61,9.43,13.15,1.8,0.08
"387","KK31r","Gjastykkisbunga",2,11500,12000,"Nicholson1991","NNVZ",49.11,0.79,15.79,9.61,9.43,13.15,1.8,0.08
"388","KK58","Gjastykkisbunga",2,11500,12000,"Nicholson1991","NNVZ",48.9,0.75,15.99,9.4,9.82,13.11,1.74,0.07
"389","KK148@6",NA,NA,120000,190000,"Nicholson1991","NNVZ",49.84,1.85,13.94,13.92,6.71,10.84,2.2,0.29
"390","KK150@6",NA,NA,120000,190000,"Nicholson1991","NNVZ",49.85,1.81,13.98,13.95,6.64,10.84,2.24,0.28
"391","SNA-24","Kroflueldar",0.25,25,35,"Nicholson1991","NNVZ",49.01,1.47,14.94,11.58,8.72,11.67,2.08,0.19
"392","Krafla_2","Kroflueldar",0.25,16,16,NA,"NNVZ",50.33,2.13,13.35,14.46,5.91,10.44,2.56,0.34
"393","Krafla_1","Kroflueldar",0.25,16,16,NA,"NNVZ",50.4,2.126,13.36,14.47,5.94,10.4,2.51,0.34
"394","KK51@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",51.16,1.49,15.47,11.13,6.74,10.72,2.52,0.33
"395","KK50@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",48.43,0.78,15.73,10.01,9.53,13.61,1.65,0.04
"396","KK60@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",52.14,2.17,14.02,13.68,4.78,9.19,2.77,0.62
"397","KR91","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",51.51,1.81,13.55,13.95,5.58,10.33,2.47,0.38
"398","KK107","Dalseldar",0.05,1000,1100,"Nicholson1991","NNVZ",51.09,2.02,13.58,14.75,5.39,9.7,2.63,0.4
"399","KK132@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",50.54,2.11,14.18,13.82,5.83,10.49,2.13,0.41
"400","KK139@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",56.22,2.04,12.36,12.16,5.06,9.36,2.08,0.3
"401","NV45","Krafla",NA,280,280,"Koornneef2012","NNVZ",50.265,2.04,13.349,14.728,5.998,10.319,2.494,0.323
"402","KK106@6",NA,NA,120000,190000,"Nicholson1991","NNVZ",49.95,1.83,13.93,14.22,6.4,10.67,2.32,0.28
"403",NA,NA,NA,NA,1810000,"Jakobsson2008","NNVZ",48.97,0.71,15.54,9.39,10.51,12.73,1.82,0.08
"404",NA,NA,NA,NA,1810000,"Jakobsson2008","NNVZ",50.23,1.03,16.85,9.46,6.82,13.36,1.85,0.13
"405",NA,NA,NA,NA,1810000,"Jakobsson2008","NNVZ",50.76,2.2,13.51,15.49,5.38,9.41,2.37,0.4
"406",NA,NA,NA,NA,1810000,"Jakobsson2008","NNVZ",49.28,1.63,14.82,11.27,8.77,11.69,1.87,0.17
"407",NA,NA,NA,NA,1810000,"Jakobsson2008","NNVZ",48.67,0.78,16.16,9.5,8.59,13.95,2.11,0.03
"408",NA,NA,NA,NA,1810000,"Jakobsson2008","NNVZ",47.46,0.53,17.85,7.76,11.09,13.46,1.66,0.02
"409","42","Randahraun_Krafla",0.15,0,12000,"Hardarson1997","NNVZ",48.93,0.62,15.03,9,11.29,13.32,1.55,0.05
"410","58","Bondholshraun",0.11,0,12000,"Hardarson1997Kempton2000","NNVZ",49.29,0.71,15.27,9.57,10.69,12.47,1.7,0.08
"411","KK127@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",51.19,2.07,13.26,14.92,5.47,9.65,2.57,0.41
"412","KK128@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",50.35,1.8,13.57,14.58,6.21,10.51,2.3,0.28
"413","KK129@6",NA,NA,120000,190000,"Nicholson1991","NNVZ",50.51,1.87,13.63,14.71,6.11,10.3,2.14,0.3
"414","KK130@6",NA,NA,120000,190000,"Nicholson1991","NNVZ",50.12,1.85,13.72,14.44,6.34,10.54,2.28,0.29
"415","KK111@6",NA,NA,120000,190000,"Nicholson1991","NNVZ",50.53,1.89,13.75,14.68,5.96,10.05,2.38,0.31
"416","KK112@6",NA,NA,120000,190000,"Nicholson1991","NNVZ",50.37,1.86,13.58,14.75,6.07,10.27,2.39,0.29
"417","KK152@1",NA,NA,25,35,"Nicholson1991","NNVZ",49.45,1.69,14.65,12.48,7.6,11.54,1.99,0.22
"418","IC47","Rd._to_Askja",0.35,70000,210000,"Hardarson1997","NNVZ",50.8,2.41,14.13,12.62,5.87,10.23,2.9,0.55
"419","KR85","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",50.34,1.02,14.75,11.22,7.94,12.39,1.87,0.16
"420","KR76","Heidarspordur",0.3,11000,12000,"Jonasson2005","NNVZ",50.38,1.04,14.86,10.74,7.95,12.59,2,0.14
"421","KK87","HyaloclastiteRidges1.15km3",1.15,12000,70000,"Nicholson1991","NNVZ",51.71,1.2,14.68,10.63,7.18,11.63,2.25,0.35
"422","KK101@3",NA,NA,8500,12000,"Nicholson1991","NNVZ",50.44,2.04,13.31,15.07,5.83,10.06,2.47,0.33
"423","KRA06","Kroflueldar",0.25,25,35,"Maclennan2004","NNVZ",49.75,1.732,14.437,12.955,7.284,11.062,2.116,0.265
"424","KRA07","Kroflueldar",0.25,25,35,"Maclennan2004","NNVZ",49.861,1.75,14.432,13.013,7.271,11.094,1.916,0.261
"425","KRA05","Kroflueldar",0.25,25,35,"Maclennan2004","NNVZ",49.649,1.639,14.57,12.493,7.583,11.303,2.138,0.24
"426","IC43A","Hvannfell",0.41,12000,70000,"Hardarson1997","NNVZ",46.65,2.07,14.57,12.67,10.39,10.92,2.18,0.19
