"","Sample","Eruption","Volume.km3.","num_min_age.wrt2000AD.","num_max_age.wrt2000AD.","Reference","Zone","SiO2","TiO2","Al2O3","FeOt","MgO","CaO","Na2O","K2O"
"90","l9331","Storavitishraun",18.4,11300,11300,"Slater2001","NNVZ",49.3,0.99,15.25,10.47,8.86,12.93,1.85,0.1
"91","FH9814","Borgarhraun",0.9,8500,10300,"Maclennan2003","NNVZ",48.649,0.716,14.048,9.338,12.475,12.868,1.634,0.05
"92","FH9815","Borgarhraun",0.9,8500,10300,"Maclennan2003","NNVZ",48.621,0.715,13.969,9.4,12.621,12.762,1.64,0.05
"93","FH9837","Borgarhraun",0.9,8500,10300,"Maclennan2003","NNVZ",48.877,0.645,14.949,9.146,11.444,13.025,1.642,0.05
"94","FH9813","Borgarhraun",0.9,8500,10300,"Maclennan2003","NNVZ",48.501,0.692,13.946,9.299,12.943,12.732,1.615,0.05
"95","H127","Borgarhraun",0.9,8500,10300,"Kokfelt2006","NNVZ",49.31,0.72,14.87,9.4,11.04,13.16,1.21,0.06
"96","FH9875","Borgarhraun",0.9,8500,10300,"Maclennan2003","NNVZ",48.8,0.636,14.715,9.106,11.917,13.018,1.545,0.05
"97","FH9876","Borgarhraun",0.9,8500,10300,"Maclennan2003","NNVZ",48.857,0.639,15.254,8.988,11.428,13.026,1.548,0.05
"98","FH9853","Borgarhraun",0.9,8500,10300,"Maclennan2003","NNVZ",48.75,0.637,14.834,9.154,11.74,12.984,1.638,0.051
"99","l9374","Borgarhraun",0.9,8500,10300,"Slater2001","NNVZ",48.79,0.67,14.66,9.32,11.83,12.88,1.57,0.05
"100","l9359","Storavitishraun",18.4,11300,11300,"Slater2001Stracke2003a","NNVZ",48.81,0.77,17.66,8.55,8.44,13.74,1.77,0.05
"101","FH9810","Borgarhraun",0.9,8500,10300,"Maclennan2003","NNVZ",48.651,0.706,14.415,9.295,12.175,12.871,1.614,0.05
"102","FH9852","Borgarhraun",0.9,8500,10300,"Maclennan2003","NNVZ",48.854,0.676,14.757,9.328,11.477,12.97,1.676,0.05
"103","FH9801","Borgarhraun",0.9,8500,10300,"Maclennan2003","NNVZ",48.834,0.685,14.841,9.274,11.385,13.037,1.672,0.05
"104","FH9804","Borgarhraun",0.9,8500,10300,"Maclennan2003","NNVZ",48.619,0.679,14.845,9.419,11.917,12.727,1.51,0.051
"105","FH9867","Borgarhraun",0.9,8500,10300,"Maclennan2003","NNVZ",48.739,0.707,14.695,9.263,11.678,12.98,1.655,0.061
"106","FH9812","Borgarhraun",0.9,8500,10300,"Maclennan2003","NNVZ",48.874,0.721,14.759,9.398,11.206,13.074,1.685,0.051
"107","FH9872","Borgarhraun",0.9,8500,10300,"Maclennan2003","NNVZ",48.63,0.691,14.547,9.321,11.962,12.844,1.723,0.06
"108","l9369","Bondholshraun",0.2,8500,10300,"Slater2001","NNVZ",49.15,0.66,14.99,9.48,11.24,12.42,1.75,0.08
"109","FH9807","Borgarhraun",0.9,8500,10300,"Maclennan2003","NNVZ",49.272,0.699,14.881,9.306,10.728,13.139,1.682,0.071
